Navegadores;solution_20170108_firefox_50_1_0_macs;solution_20170108_safari_10_0_2_macs;solution_20170108_firefox_47_0_linuxes;solution_20170108_chromium_51_0_2704_79_linuxes;solution_20170108_firefox_50_1_0_androids;solution_20170108_chrome_55_0_2883_95_macs;solution_20170108_edge_14_14393;solution_20170108_chrome_55_0_2883_87_windows
MSE;0,0009493513829589268;0,006406922072339689;0,0007249178498228936;0,001026530216915779;0,0007890883632581075;1000000;0,0058465382017162115;0,0013579124576204088
MSE;0,0007606589988655504;0,003929611042487073;0,0009823874486386568;0,0006319890576181027;0,0008038564665817584;1000000;0,07931389173741536;0,0006885769096994687
MSE;0,0007873116378926021;0,1554068868069602;0,0011199688407754398;1000000;0,0007548643665789295;1000000;0,005990164794507134;1000000
MSE;0,0006682004088092183;0,007751493731131178;0,0006564880167540091;1000000;0,0007262722842121085;0,0015664512776802748;0,013551824767293604;0,0006990149689083296
MSE;0,0006534397367586147;0,015090631815657361;0,0007677495529023655;1000000;0,001140211853490836;0,0008364475675933338;0,02192928002286411;1000000
MSE;0,0014597080860488897;0,01482250252565365;0,0009204553891601163;0,0006511781941293363;0,0008032765357354194;1000000;0,015649612691954234;1000000
MSE;0,0006597555982290933;0,09953645636248257;0,000732455755806034;0,0007190611821683033;0,0006723758294904073;1000000;0,009709289803439684;1000000
MSE;0,0007127933118592024;0,26804679688002736;0,0007872715922789686;0,0006910924064088439;0,0006608928196856524;1000000;0,02259651166931201;1000000
MSE;0,0013601676060519049;0,012283999868664148;0,0008558281113122288;1000000;0,0016197385991695442;1000000;0,008513233296527555;0,0006965416059347947
MSE;0,000717376066719164;0,01577081567751186;0,0009262560519709634;1000000;0,0012553584553679318;1000000;0,013346490174264588;0,0023682411251200472
Navegadores;solution_20170108_firefox_50_1_0_macs;solution_20170108_safari_10_0_2_macs;solution_20170108_firefox_47_0_linuxes;solution_20170108_chromium_51_0_2704_79_linuxes;solution_20170108_firefox_50_1_0_androids;solution_20170108_chrome_55_0_2883_95_macs;solution_20170108_edge_14_14393;solution_20170108_chrome_55_0_2883_87_windows
RMSE;0,030811546260435013;0,080043251260426;0,026924298501964608;0,03203951024775159;0,028090716673985154;1000000;0,07646265887161008;0,03684986373950939
RMSE;0,02758004711499874;0,06268660975429341;0,031343060613773135;0,02513939254672043;0,028352362627861515;1000000;0,28162722122943895;0,026240749030838825
RMSE;0,028059074074042466;0,39421680178165946;0,033465935528167144;1000000;0,02747479511441222;1000000;0,07739615490776744;1000000
RMSE;0,025849572700708583;0,08804256772227385;0,02562202210509563;1000000;0,026949439404412637;0,03957841934287264;0,11641230505102802;0,026438891219344462
RMSE;0,025562467344890923;0,12284393275883576;0,027708293937057284;1000000;0,03376702316596528;0,02892140327842572;0,14808538085464112;1000000
RMSE;0,038206126289495636;0,12174770028897322;0,030339007715482657;0,0255181933947005;0,028342133577686408;1000000;0,12509841202810784;1000000
RMSE;0,02568570805387878;0,3154939878388851;0,027063919815984418;0,02681531618624519;0,025930210749054997;1000000;0,09853572856299224;1000000
RMSE;0,026698189299261522;0,5177323602789644;0,02805836047025857;0,0262886364501631;0,025707835764327818;1000000;0,15032136132071186;1000000
RMSE;0,03688045018776079;0,11083320742748605;0,0292545400119747;1000000;0,04024597618606789;1000000;0,09226718428849746;0,02639207468038075
RMSE;0,0267838769919361;0,12558190824124255;0,030434455013536275;1000000;0,035431038022727075;1000000;0,11552701058308654;0,04866457772466589
Navegadores;solution_20170108_firefox_50_1_0_macs;solution_20170108_safari_10_0_2_macs;solution_20170108_firefox_47_0_linuxes;solution_20170108_chromium_51_0_2704_79_linuxes;solution_20170108_firefox_50_1_0_androids;solution_20170108_chrome_55_0_2883_95_macs;solution_20170108_edge_14_14393;solution_20170108_chrome_55_0_2883_87_windows
MAE;0,024409440875712833;0,06659167357761858;0,021445589192594174;0,025491807949865285;0,02270190792406997;1000000;0,06519885595899773;0,030372539494102326
MAE;0,02156751369624425;0,053902467698479124;0,025238407649966238;0,02011003544595665;0,022213998192604886;1000000;0,24390563165744392;0,020492638743096193
MAE;0,020965869853302656;0,3248370054692949;0,027556429997714536;1000000;0,021111811203538073;1000000;0,0676386126369686;1000000
MAE;0,020418140567182344;0,07523003834270776;0,02013289819952195;1000000;0,02060810205849144;0,03187735597009244;0,10282937693866816;0,02115225372244127
MAE;0,019589621372559637;0,09282555669584544;0,022118648273792372;1000000;0,02675617502016734;0,023548727905954563;0,13609289759344045;1000000
MAE;0,029878145942619953;0,09077098199670332;0,02349667687540314;0,020285175395260542;0,022436897719047284;1000000;0,09498081559845102;1000000
MAE;0,020114882743556356;0,27429320886184894;0,021534642699430548;0,020165087444880585;0,020974232342958202;1000000;0,0761904503824934;1000000
MAE;0,02013020219888057;0,4348330328174612;0,021088196846140113;0,02016904556350776;0,020313556731313055;1000000;0,11470690306570115;1000000
MAE;0,029667608229824925;0,08420699663432026;0,021911188824837845;1000000;0,032637322898403064;1000000;0,07886553260190458;0,0199543889174601
MAE;0,02009863635952712;0,09445662266020605;0,023949095341885305;1000000;0,028306362578784102;1000000;0,0902339877572545;0,03950448840228613
Navegadores;solution_20170108_firefox_50_1_0_macs;solution_20170108_safari_10_0_2_macs;solution_20170108_firefox_47_0_linuxes;solution_20170108_chromium_51_0_2704_79_linuxes;solution_20170108_firefox_50_1_0_androids;solution_20170108_chrome_55_0_2883_95_macs;solution_20170108_edge_14_14393;solution_20170108_chrome_55_0_2883_87_windows
MdAE;0,020838022250736277;0,05849270063084733;0,01674834970443917;0,020548666844818708;0,019014018687892653;1000000;0,06213775231000396;0,026978942853495447
MdAE;0,017580725752738724;0,05253191221957998;0,02148769048551724;0,01745246518820376;0,018032821775286756;1000000;0,2744850146637954;0,01721280839894601
MdAE;0,0151449364375007;0,3350458491984156;0,02511169917769296;1000000;0,01553754346117886;1000000;0,07272766757486893;1000000
MdAE;0,016854798945997507;0,07766975723434233;0,015344020741561604;1000000;0,01567797875006871;0,028247833454856597;0,10601398696184972;0,01793974528664255
MdAE;0,015266174801904953;0,06750026330786807;0,018779215936082005;1000000;0,021649472559933436;0,021137312110731887;0,15149174592665582;1000000
MdAE;0,024253304394569408;0,06602615950492963;0,019151518460109873;0,01706586338420557;0,019027801379252196;1000000;0,06800164237276585;1000000
MdAE;0,01623397494439649;0,30718032752385516;0,01754141102465656;0,01593299823652239;0,018296150190704186;1000000;0,060702902606309284;1000000
MdAE;0,016583003689360387;0,48422600127276105;0,016367139535674813;0,015007772800970098;0,017237590895808896;1000000;0,08509896162797803;1000000
MdAE;0,024643077047763473;0,06493356736334421;0,017026387104728258;1000000;0,027884283731108184;1000000;0,0750153523507473;0,014982488701085206
MdAE;0,014479494423465633;0,06913956460860016;0,019879661242860225;1000000;0,02291603992266822;1000000;0,06707175106786334;0,035911215069703406
Navegadores;solution_20170108_firefox_50_1_0_macs;solution_20170108_safari_10_0_2_macs;solution_20170108_firefox_47_0_linuxes;solution_20170108_chromium_51_0_2704_79_linuxes;solution_20170108_firefox_50_1_0_androids;solution_20170108_chrome_55_0_2883_95_macs;solution_20170108_edge_14_14393;solution_20170108_chrome_55_0_2883_87_windows
MAPE;1,3020803830754857;3,7625244764610275;1,1595618937685412;1,3951780079361247;1,2464276891378563;1000000;3,613760018478106;1,7051218258024736
MAPE;1,1008462851559324;2,8565481311634557;1,4275508286680934;1,0808724599635697;1,1917078479692174;1000000;14,38792391302686;1,08798674433728
